# Type 1, Type 2, Tera Type, Score
FGT,BUG,FGT,64.9079064732
FGT,PSN,FGT,64.8901921967
FIR,GRD,GHT,64.8557039086
ICE,DRK,FRY,64.8544414483
FLY,RCK,FLY,64.8449402563
GRS,GRD,DRK,64.7687143571
FGT,FRY,ELC,64.7293770563
FGT,GHT,WTR,64.7103474267
ELC,RCK,FRY,64.6441246741
PSY,GHT,PSY,64.6372947363
FGT,GHT,PSN,64.6156740891
PSY,DRK,PSY,64.6064264741
ELC,GRD,GHT,64.5898696711
FGT,DRK,WTR,64.5807771185
WTR,DRK,DRK,64.5718287099
FIR,FGT,FIR,64.5676776403
FGT,DRK,PSN,64.5061944887
FIR,PSY,PSY,64.3950769196
FLY,BUG,FLY,64.3680132139
GRS,RCK,PSN,64.3532579767
RCK,DRK,DRK,64.3275408536
BUG,RCK,FRY,64.3202800921
GRS,GRD,NRM,64.3177106165
GRD,FLY,---,64.2817734973
ICE,FRY,GRD,64.2489293089
ICE,FLY,GRD,64.1883350355
FIR,PSN,FIR,64.1731644274
FIR,PSY,FIR,64.0812515263
FLY,FRY,FLY,64.0441466139
FIR,GHT,FIR,63.9505284591
GRD,RCK,NRM,63.9460085054
PSN,FLY,GRD,63.9159268636
FGT,RCK,ELC,63.9112896685
WTR,GRD,PSN,63.9071248417
PSN,RCK,RCK,63.8950411779
FIR,DRK,FIR,63.8580512150
ICE,FRY,ICE,63.8227174030
ICE,FLY,ICE,63.7674634519
GRD,BUG,BUG,63.7590513962
FLY,PSY,FLY,63.7532271500
NRM,GRD,PSN,63.7339877227
GRD,---,PSN,63.7339877227
FIR,RCK,FIR,63.6141296717
GHT,DRG,GHT,63.5903329309
GRD,PSY,FGT,63.5616312765
FIR,FGT,FRY,63.4469973361
FGT,FLY,FRY,63.4171064835
GRS,FGT,PSN,63.4091185253
PSN,RCK,GRD,63.3337441906
ICE,BUG,GRD,63.2941464522
FGT,BUG,FRY,63.1827089367
GRD,RCK,FGT,63.1627544881
NRM,FGT,FGT,63.1618153463
RCK,GHT,RCK,63.0720360832
RCK,DRK,RCK,63.0338996731
ICE,FGT,DRK,63.0181409553
PSN,BUG,GRD,63.0178965755
FGT,---,FGT,63.0156816669
