# Type 1, Type 2, Tera Type, Score
PSY,DRK,STL,69.4649118946
FIR,DRG,STL,69.4611833661
NRM,GRS,NRM,69.4130206534
FLY,GHT,GHT,69.3603335880
PSY,GHT,STL,69.3538477106
GRS,FLY,WTR,69.2680449081
GRD,DRG,STL,69.1896660585
FGT,RCK,FRY,69.1833788281
ICE,FGT,DRK,69.1794404532
FIR,WTR,FIR,69.1156983794
PSY,GHT,GHT,68.9431190956
GRS,RCK,FLY,68.8317706580
GRD,FRY,WTR,68.8032925890
ICE,PSY,PSY,68.7725022849
GRS,DRK,FGT,68.6947375108
GRD,BUG,GRD,68.6875170868
GRS,GHT,FGT,68.6704460506
GRS,RCK,NRM,68.6662132184
FGT,GRD,PSN,68.6447934389
NRM,FLY,FLY,68.4756731532
FLY,---,FLY,68.4756731532
GRS,FLY,FRY,68.4547699704
PSN,GRD,STL,68.4053855233
GRS,BUG,FRY,68.3533195801
GRD,RCK,PSN,68.3389374584
WTR,GRS,STL,68.2734395899
FIR,FGT,WTR,68.1614185943
GRS,FGT,PSY,68.1589694018
FGT,BUG,WTR,68.1157496013
GRD,PSY,PSY,68.1053776607
GRD,STL,GRD,68.0380451086
FIR,BUG,FIR,67.9938603942
PSN,GRD,GRD,67.9282162323
PSN,FRY,PSN,67.9100134827
PSY,RCK,WTR,67.8813353096
ICE,FGT,PSN,67.8733798431
RCK,GHT,WTR,67.8589518088
PSN,RCK,FRY,67.8488490292
DRK,STL,---,67.8379133956
RCK,DRK,WTR,67.7932508319
GRS,DRG,STL,67.7860134529
GRS,GRD,NRM,67.7369949701
FIR,GRS,FGT,67.7102620159
ICE,FGT,NRM,67.6433488057
FIR,PSY,WTR,67.6379008681
RCK,STL,FRY,67.6363864160
ICE,PSY,STL,67.6235047781
GRS,FGT,GRS,67.5857415996
RCK,DRK,DRK,67.5604916531
PSN,GHT,PSN,67.5282031643
FIR,GRS,GHT,67.5212938721
PSN,DRK,PSN,67.5079420960
FIR,GHT,WTR,67.5034798020
FIR,DRK,WTR,67.4377788251
FIR,PSN,FIR,67.3966865107
GRD,FRY,PSN,67.3785938599
