# Type 1, Type 2, Tera Type, Score
ICE,FGT,NRM,65.5639232442
GRD,GHT,FIR,65.4923706230
NRM,FIR,NRM,65.4541409662
GRD,DRK,FIR,65.4355322545
GRS,DRK,FRY,65.4344021347
GRS,GHT,FRY,65.4277982777
GRD,BUG,PSN,65.4242350507
DRK,STL,GRD,65.4202126346
GHT,STL,GRD,65.4166136349
FIR,GRD,NRM,65.4154127383
FGT,DRG,DRG,65.3764835073
PSN,FRY,PSN,65.3745293569
FIR,DRK,DRK,65.3728252966
GRS,FGT,FRY,65.3648081664
GRS,PSY,FGT,65.3604800840
FGT,PSN,STL,65.3403954382
ELC,DRK,DRK,65.3144321570
PSN,GHT,GRD,65.3090661023
WTR,GHT,GRD,65.2959892731
ICE,FGT,ICE,65.2914161061
PSN,DRK,GRD,65.2692686482
ELC,---,ELC,65.2618071472
GRD,BUG,FGT,65.2610836835
PSN,GRD,FGT,65.2468654108
WTR,DRK,GRD,65.2391509046
PSN,GRD,NRM,65.2053750470
GRS,STL,---,65.1750886519
GRS,GHT,GRD,65.1510330884
GRD,FRY,DRK,65.0951395997
GRS,DRK,GRD,65.0941947198
FIR,FRY,STL,65.0780218003
ICE,FGT,FRY,65.0658852325
ELC,FGT,PSN,65.0375849783
FGT,PSY,PSN,65.0264080697
FIR,GRS,STL,64.9809176302
PSY,RCK,PSY,64.9633220518
PSY,STL,PSY,64.9419777968
ELC,PSN,PSN,64.9023261073
FGT,RCK,FRY,64.8123377667
DRK,FRY,DRK,64.8080265764
GRS,FGT,GRS,64.8020925138
STL,FRY,---,64.7785529531
FLY,BUG,FLY,64.7769685204
FGT,GRD,WTR,64.7354676263
WTR,GRD,GHT,64.7235384155
GRD,DRG,PSN,64.6585599865
FLY,FRY,FLY,64.6409734893
GRD,RCK,DRK,64.5467334825
PSN,GHT,PSN,64.5342445884
PSN,DRK,PSN,64.5171455119
GRS,GRD,BUG,64.4464188966
NRM,GRS,NRM,64.4147371304
ICE,PSY,FGT,64.3528705871
ELC,PSY,PSY,64.3497691048
ELC,FRY,GRD,64.3361978677
GRS,GRD,GRS,64.2911857494
FLY,STL,FLY,64.2441532764
GRD,STL,PSN,64.2152832984
PSN,FLY,FLY,64.1903177857
WTR,FGT,ELC,64.1800804741
NRM,ICE,NRM,64.1281695175
GRS,STL,FRY,64.1006243461
GRD,STL,---,64.0913474651
ELC,FRY,STL,64.0353489350
FIR,FRY,WTR,64.0281817583
GRS,FGT,DRK,64.0163950354
ICE,FGT,PSY,64.0132698732
FGT,PSY,GRD,63.9716798327
RCK,DRK,STL,63.9632532756
FLY,BUG,GRD,63.9268181248
FIR,FRY,GRD,63.8939703230
WTR,GRD,DRK,63.8874594799
RCK,GHT,STL,63.8720252191
BUG,DRK,DRK,63.8571433835
ICE,FGT,GHT,63.8324941568
ELC,GRD,PSY,63.8152057420
WTR,FLY,FGT,63.7694712010
PSN,RCK,FRY,63.7665471118
ICE,STL,FRY,63.7443280343
FLY,FRY,GRD,63.7082632046
GRD,BUG,DRK,63.7053997968
BUG,FRY,GRD,63.7035502910
GRS,GRD,DRG,63.6611646792
ICE,RCK,FRY,63.5802083523
RCK,STL,FRY,63.5100962582
WTR,GRD,FRY,63.4799883531
GRS,PSN,PSN,63.4712575342
FIR,GRS,FRY,63.4302760234
FGT,GRD,PSY,63.3696332444
FLY,STL,GRD,63.3100993886
FIR,ELC,WTR,63.2865867008
WTR,RCK,FRY,63.2364825348
PSY,GHT,GRD,63.2076884723
ICE,GRD,DRG,63.1819997018
PSY,DRK,GRD,63.1805601798
PSN,FLY,GRD,63.1591554022
FIR,PSY,STL,63.1539377144
WTR,FLY,GRD,63.1387070563
GRD,FLY,FRY,63.0961709364
FLY,PSY,FLY,63.0723778678
GRS,FLY,GRD,63.0455133166
GRS,PSN,FRY,63.0097524208
GHT,DRG,GHT,63.0052181199
DRK,FRY,STL,62.9990725154
ELC,FGT,GRD,62.9380377554
FIR,GHT,ELC,62.9103603600
GHT,FRY,STL,62.9078444589
NRM,FIR,FIR,62.9073210539
NRM,RCK,NRM,62.9001843967
GRD,PSY,GHT,62.8932634667
BUG,RCK,GRD,62.8797891007
GRS,DRK,STL,62.8557904732
GRS,FRY,FGT,62.8557142649
FIR,DRK,ELC,62.8535219915
ELC,FLY,STL,62.8476042775
NRM,DRK,NRM,62.8332787212
GRS,RCK,FGT,62.8330996830
NRM,GHT,NRM,62.8264981720
GRS,GHT,STL,62.7645624167
WTR,ELC,FRY,62.7434617968
PSN,PSY,PSY,62.7409896351
WTR,PSY,FGT,62.7351846123
FIR,PSY,ELC,62.7275818329
